file	source_id	line_no	translation	raw_translation
5101_mix.txt	5101	5	对、对不起。我现在很赶	「对、对不起。我现在很赶」
5101_mix.txt	5101	8	别这么说嘛，不能重新考虑一下吗小木曾？	「别这么说嘛，不能重新考虑一下吗小木曾？」
5101_mix.txt	5101	17	但是，离峰城祭已经只有一个星期了…	「但是，离峰城祭已经只有一个星期了…」
5101_mix.txt	5101	20	只要一首歌就行了！ 那样的话，只要一起练习两三次就没问题了吧？	「只要一首歌就行了！ 那样的话，只要一起练习两三次就没问题了吧？」
5101_mix.txt	5101	23	我可没有聪明到能够在那么短的时间里就准备好啊	「我可没有聪明到能够在那么短的时间里就准备好啊」
5101_mix.txt	5101	32	没关系的，你选你能唱的歌就行了，我们来配合你	「没关系的，你选你能唱的歌就行了，我们来配合你」
5101_mix.txt	5101	35	不行，这样还是会给你们添麻烦的，对不起…	「不行，这样还是会给你们添麻烦的，对不起…」
5101_mix.txt	5101	47	那么，去年你在附属祭唱的『Ｗｈｉｔｅ　Ａｌｂｕｍ』如何？	「那么，去年你在附属祭唱的『Ｗｈｉｔｅ　Ａｌｂｕｍ』如何？」
5101_mix.txt	5101	50	哎…	「哎…」
5101_mix.txt	5101	59	或者『Ｓｏｕｎｄ ｏｆ Ｄｅｓｔｉｎｙ』也行。这两首我们都马上就能弹	「或者『Ｓｏｕｎｄ ｏｆ Ｄｅｓｔｉｎｙ』也行。这两首我们都马上就能弹」
5101_mix.txt	5101	65	其实，在你当时演唱的时候，我还丢下了自己的店子，特意跑去看了啊	「其实，在你当时演唱的时候，我还丢下了自己的店子，特意跑去看了啊」
5101_mix.txt	5101	68	这、这样啊…	「这、这样啊…」
5101_mix.txt	5101	74	…但是，从我个人的角度来说，我其实更想让你唱那首歌	「…但是，从我个人的角度来说，我其实更想让你唱那首歌」
5101_mix.txt	5101	77	那首歌………是指	「那首歌………是指」
5101_mix.txt	5101	80	就是你在附属祭最后唱的，那首原创的…	「就是你在附属祭最后唱的，那首原创的…」
5101_mix.txt	5101	83	那是…	「那是…」
5101_mix.txt	5101	89	好～了到此为止～	「好～了到此为止～」
5101_mix.txt	5101	92	什…	「什…」
5101_mix.txt	5101	95	啊…	「啊…」
